City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,80,NZ,1525309624,98,-46.19,168.86,53.08,4.63
1,bubaque,0,GW,1525309859,100,11.28,-15.83,78.46,11.45
2,hermanus,76,ZA,1525309659,97,-34.42,19.24,57.13,4.34
3,nanortalik,12,GL,1525309718,100,60.14,-45.24,24.46,24.36
4,kapaa,92,US,1525309697,80,22.08,-159.32,75.58,5.12
5,hilo,88,US,1525309574,100,19.71,-155.08,76.57,11.27
6,suntar,48,RU,1525309860,83,62.16,117.65,48.13,10.33
7,atuona,88,PF,1525309631,100,-9.8,-139.03,78.1,11.56
8,ushuaia,32,AR,1525309679,100,-54.81,-68.31,27.7,4.79
9,rikitea,80,PF,1525309619,100,-23.12,-134.97,74.5,8.93
10,busselton,56,AU,1525309620,100,-33.64,115.35,62.71,14.85
11,albany,20,US,1525309350,39,42.65,-73.75,71.35,7.25
12,punta arenas,64,CL,1525309657,100,-53.16,-70.91,41.29,11.79
13,namie,92,JP,1525309862,83,37.52,140.86,65.95,9.15
14,puerto ayora,0,EC,1525309635,93,-0.74,-90.35,78.73,11.95
15,champerico,80,MX,1525309831,90,16.38,-93.6,75.4,1.28
16,victoria,64,BN,1525309717,100,5.28,115.24,82.15,5.35
17,lagoa,0,PT,1525309720,89,37.14,-8.45,47.86,5.08
18,codrington,76,AU,1525309649,90,-28.95,153.24,66.31,3.0
19,kundiawa,24,PG,1525309864,91,-6.02,144.97,66.58,0.72
20,san ramon,20,NI,1525309864,73,12.92,-85.84,72.79,2.21
21,broken hill,88,AU,1525309865,33,-31.97,141.45,70.81,19.66
22,port alfred,20,ZA,1525309639,88,-33.59,26.89,66.85,21.23
23,pevek,0,RU,1525309807,99,69.7,170.27,23.29,9.33
24,skjeberg,20,NO,1525309866,89,59.21,11.19,42.91,8.14
25,broome,0,GB,1525309714,95,52.47,1.45,40.12,9.15
26,tupik,0,RU,1525309867,43,54.43,119.94,49.48,5.23
27,ilulissat,64,GL,1525309694,90,69.22,-51.1,15.28,5.41
28,talcahuano,80,CL,1525309867,97,-36.72,-73.12,56.68,8.14
29,geraldton,68,CA,1525309868,78,49.72,-86.95,39.76,2.89
30,salalah,8,OM,1525309832,100,17.01,54.1,79.81,6.91
31,saskylakh,36,RU,1525309712,89,71.97,114.09,7.9,9.44
32,honningsvag,0,NO,1525309869,92,70.98,25.97,34.45,11.12
33,ugoofaaru,56,MV,1525309869,98,5.67,73.0,85.66,9.93
34,tiznit,0,MA,1525309869,94,29.7,-9.73,55.96,6.35
35,churapcha,92,RU,1525309870,63,62.0,132.43,44.71,6.8
36,lompoc,0,US,1525309666,81,34.64,-120.46,56.86,7.58
37,cockburn town,76,TC,1525309681,100,21.46,-71.14,75.85,16.6
38,kruisfontein,92,ZA,1525309723,100,-34.0,24.73,64.33,20.33
39,new iberia,0,US,1525309871,50,30.0,-91.82,82.06,15.3
40,cape town,0,ZA,1525309635,95,-33.93,18.42,61.36,14.63
41,kimbe,20,PG,1525309796,100,-5.56,150.15,82.78,3.0
42,san cristobal,32,EC,1525309872,94,-0.39,-78.55,48.4,1.39
43,colares,0,PT,1525309688,100,38.8,-9.45,55.15,7.87
44,san giovanni in fiore,100,IT,1525309873,100,39.25,16.7,58.57,13.06
45,manokwari,68,ID,1525309805,99,-0.87,134.08,83.32,6.08
46,kuching,12,MY,1525309874,100,1.56,110.34,80.44,4.63
47,tutoia,76,BR,1525309874,99,-2.76,-42.27,76.3,6.02
48,hithadhoo,64,MV,1525309634,100,-0.6,73.08,83.95,15.19
49,mnogovershinnyy,0,RU,1525309875,54,53.94,139.92,47.68,3.29
50,lebu,36,ET,1525309644,89,8.96,38.73,47.05,2.73
51,saint-philippe,64,CA,1525309627,55,45.36,-73.48,67.93,21.18
52,ankang,24,CN,1525309875,71,32.73,108.99,57.76,2.55
53,mitsamiouli,0,KM,1525309714,98,-11.38,43.28,80.71,7.36
54,chuy,92,UY,1525309654,97,-33.69,-53.46,66.4,16.15
55,conde,92,BR,1525309753,86,-11.81,-37.61,78.91,7.76
56,katsuura,0,JP,1525309745,78,33.93,134.5,59.65,14.92
57,alice springs,80,AU,1525309713,15,-23.7,133.88,81.97,9.78
58,ponta do sol,0,BR,1525309669,49,-20.63,-46.0,62.08,6.64
59,dikson,80,RU,1525309621,96,73.51,80.55,15.55,25.21
60,vardo,5,US,1525304820,21,39.62,-77.74,80.6,4.7
61,avarua,32,CK,1525309631,99,-21.21,-159.78,79.45,12.35
62,kaitangata,36,NZ,1525309699,90,-46.28,169.85,55.06,4.63
63,trzebiatow,88,PL,1525309879,87,54.06,15.26,53.89,10.56
64,hobart,24,AU,1525309381,78,-42.88,147.33,59.92,5.57
65,qingdao,8,CN,1525309880,90,36.09,120.35,53.8,6.13
66,kavaratti,36,IN,1525309763,100,10.57,72.64,84.13,4.29
67,carovigno,92,IT,1525309880,88,40.71,17.66,62.26,19.44
68,norman wells,76,CA,1525309681,94,65.28,-126.83,33.55,5.75
69,jamestown,76,AU,1525309706,75,-33.21,138.6,62.08,12.95
70,antofagasta,0,CL,1525309744,94,-23.65,-70.4,60.55,2.33
71,vaini,68,IN,1525309637,93,15.34,74.49,69.55,2.06
72,hofn,0,IS,1525309882,100,64.25,-15.21,36.88,13.69
73,kabalo,0,CD,1525309882,87,-6.05,26.92,71.8,4.9
74,lima,0,PE,1525309876,77,-12.06,-77.04,63.25,2.39
75,khatanga,44,RU,1525309670,85,71.98,102.47,8.98,8.59
76,fortuna,76,ES,1525309705,36,38.18,-1.13,55.78,10.67
77,bluff,32,AU,1525309662,60,-23.58,149.07,75.31,8.66
78,iqaluit,56,CA,1525309727,76,63.75,-68.52,9.43,11.68
79,nikolskoye,0,RU,1525309633,91,59.7,30.79,41.38,7.92
80,orlik,8,RU,1525309885,89,52.51,99.83,22.84,2.55
81,college,75,US,1525305360,51,64.86,-147.8,39.2,9.17
82,obo,24,CF,1525309885,86,5.39,26.49,71.8,2.89
83,narsaq,0,GL,1525309626,79,60.91,-46.05,7.0,9.78
84,imuris,0,MX,1525309886,22,30.78,-110.86,67.48,10.45
85,union,12,US,1525309887,56,47.36,-123.1,65.41,2.89
86,fukue,64,JP,1525309887,90,35.03,136.69,65.68,11.39
87,mar del plata,68,AR,1525309683,68,-46.43,-67.52,54.25,13.91
88,anderson,0,US,1525309888,41,34.51,-82.65,72.88,4.63
89,port elizabeth,0,US,1525309631,30,39.31,-74.98,78.91,13.58
90,araouane,0,ML,1525309888,17,18.9,-3.53,72.43,9.1
91,saint-pierre,64,FR,1525309889,92,48.95,4.24,50.02,5.79
92,sitka,80,US,1525309665,22,37.17,-99.65,82.96,13.85
93,ostersund,0,SE,1525309890,83,63.18,14.64,35.89,7.81
94,jatai,0,IN,1525309890,75,28.97,76.18,72.61,13.29
95,la ronge,90,CA,1525305600,35,55.1,-105.3,55.4,9.17
96,acapulco,12,MX,1525309483,57,16.86,-99.88,86.38,7.81
97,kupang,8,ID,1525309891,93,-10.16,123.6,81.88,10.16
98,butaritari,32,KI,1525309650,100,3.07,172.79,83.41,9.93
99,binzhou,0,CN,1525309892,69,37.38,117.96,58.75,15.19
100,arraial do cabo,76,BR,1525309640,92,-22.97,-42.02,75.49,8.03
101,marawi,44,PH,1525309892,99,8.0,124.29,73.6,2.89
102,ancud,92,CL,1525309669,87,-41.87,-73.83,52.0,8.77
103,kerrville,20,US,1525309893,57,30.05,-99.14,82.96,17.31
104,ulagan,64,RU,1525309893,66,50.63,87.96,27.88,4.07
105,bahia blanca,76,AR,1525309893,100,-38.72,-62.27,56.05,5.3
106,alta floresta,20,BR,1525309894,83,-9.87,-56.08,76.84,1.72
107,shasta lake,0,US,1525309894,29,40.68,-122.36,71.44,0.6
108,payo,20,ID,1525309895,84,-3.75,103.64,75.49,3.0
109,juneau,92,US,1525309672,98,58.3,-134.42,38.5,3.4
110,fukuma,0,JP,1525309895,94,33.77,130.47,58.93,17.16
111,arcata,20,US,1525305180,76,40.87,-124.08,57.2,8.05
112,natalicio talavera,0,PY,1525309896,72,-25.65,-56.31,73.78,2.21
113,ziro,12,IN,1525309896,83,27.54,93.82,54.16,2.06
114,havoysund,0,NO,1525309811,95,71.0,24.66,34.9,11.9
115,east london,24,ZA,1525309684,100,-33.02,27.91,70.09,21.9
116,belomorsk,92,RU,1525309897,93,64.52,34.76,34.36,10.56
117,saldanha,8,PT,1525309717,91,41.42,-6.55,43.36,3.89
118,manuk mangkaw,44,PH,1525309898,100,4.8,119.85,79.18,8.59
119,gazli,0,UZ,1525309898,46,40.13,63.45,61.9,10.45
120,kortkeros,64,RU,1525309899,71,61.81,51.56,28.42,5.08
121,ribeira grande,20,PT,1525309643,100,38.52,-28.7,61.63,10.83
122,tasiilaq,76,GL,1525309633,94,65.61,-37.64,27.43,28.5
123,margate,64,AU,1525309853,80,-43.03,147.26,60.19,7.25
124,padang,20,ID,1525309766,100,-0.92,100.36,82.78,5.3
125,souillac,80,FR,1525309699,94,45.6,-0.6,51.91,5.23
126,cayenne,92,GF,1525309900,92,4.94,-52.33,77.65,7.14
127,bathsheba,92,BB,1525309622,99,13.22,-59.52,79.63,19.84
128,adrar,0,DZ,1525309779,28,27.87,-0.29,61.36,9.15
129,huarmey,0,PE,1525309901,72,-10.07,-78.15,68.74,3.29
130,tuktoyaktuk,0,CA,1525309638,100,69.44,-133.03,13.48,6.76
131,saint anthony,0,US,1525309637,45,43.97,-111.68,56.41,7.09
132,port blair,64,IN,1525309799,100,11.67,92.75,83.41,4.56
133,aksarka,24,RU,1525309902,70,66.56,67.8,1.96,2.62
134,banjar,0,ID,1525309902,86,-7.37,108.54,70.81,2.28
135,plettenberg bay,64,ZA,1525309677,95,-34.05,23.37,62.8,14.41
136,svetlogorsk,76,RU,1525309645,100,53.14,59.15,40.03,5.53
137,torbay,32,CA,1525309685,75,47.66,-52.73,42.1,16.42
138,beckley,0,US,1525309903,43,37.78,-81.19,70.27,4.12
139,hovd,0,NO,1525309687,78,63.83,10.7,45.61,8.81
140,kapit,44,MY,1525309904,98,2.02,112.94,73.51,2.77
141,mount isa,0,AU,1525309904,30,-20.73,139.49,80.44,6.8
142,vilhena,8,BR,1525309904,77,-12.74,-60.15,74.23,2.77
143,maumere,0,ID,1525309905,100,-8.63,122.22,83.68,6.08
